"","variable","value","QrtEstimate","Lower","Upper"
"460","Rep",-0.103607118244761,2,FALSE,FALSE
"461","Rep",-0.122324990825785,2,FALSE,FALSE
"462","Rep",-0.120888262685788,2,FALSE,FALSE
"463","Rep",-0.1587639743826,2,FALSE,FALSE
"464","Rep",-0.11571341415801,2,FALSE,FALSE
"465","Rep",-0.0931217467162925,2,FALSE,FALSE
"466","Rep",-0.115561937513947,2,FALSE,FALSE
"467","Rep",-0.147132538955734,2,FALSE,FALSE
"468","Rep",-0.109878573154828,2,FALSE,FALSE
"469","Rep",-0.143345161520946,2,FALSE,FALSE
"470","Rep",-0.106811570580406,2,FALSE,FALSE
"471","Rep",-0.137921560506404,2,FALSE,FALSE
"472","Rep",-0.117807470707468,2,FALSE,FALSE
"473","Rep",-0.11509079510016,2,FALSE,FALSE
"474","Rep",-0.0969534210216685,2,FALSE,FALSE
"475","Rep",-0.0997746852818053,2,FALSE,FALSE
"476","Rep",-0.129689771469865,2,FALSE,FALSE
"477","Rep",-0.125961821975143,2,FALSE,FALSE
"478","Rep",-0.12106104375313,2,FALSE,FALSE
"480","Rep",-0.116677968697203,2,FALSE,FALSE
"481","Rep",-0.119402533158621,2,FALSE,FALSE
"482","Rep",-0.114851491191482,2,FALSE,FALSE
"483","Rep",-0.132272767953876,2,FALSE,FALSE
"484","Rep",-0.137448564252494,2,FALSE,FALSE
"485","Rep",-0.124933664276455,2,FALSE,FALSE
"486","Rep",-0.117188598718795,2,FALSE,FALSE
"487","Rep",-0.137940303944998,2,FALSE,FALSE
"488","Rep",-0.11255872266238,2,FALSE,FALSE
"489","Rep",-0.129114275698384,2,FALSE,FALSE
"490","Rep",-0.0970173108715058,2,FALSE,FALSE
"491","Rep",-0.138811653583639,2,FALSE,FALSE
"493","Rep",-0.112062335306945,2,FALSE,FALSE
"494","Rep",-0.114691958497805,2,FALSE,FALSE
"495","Rep",-0.117865668193459,2,FALSE,FALSE
"496","Rep",-0.12087050010855,2,FALSE,FALSE
"497","Rep",-0.11023196454602,2,FALSE,FALSE
"498","Rep",-0.098675139658652,2,FALSE,FALSE
"499","Rep",-0.124481858527326,2,FALSE,FALSE
"500","Rep",-0.110987183646729,2,FALSE,FALSE
"501","Rep",-0.122911897042081,2,FALSE,FALSE
"502","Rep",-0.127303453759876,2,FALSE,FALSE
"503","Rep",-0.129845635595392,2,FALSE,FALSE
"504","Rep",-0.0975694967664641,2,FALSE,FALSE
"505","Rep",-0.126849011529633,2,FALSE,FALSE
"506","Rep",-0.1099708579344,2,FALSE,FALSE
"507","Rep",-0.122539145153962,2,FALSE,FALSE
"508","Rep",-0.105214202222115,2,FALSE,FALSE
"509","Rep",-0.125245554398579,2,FALSE,FALSE
"510","Rep",-0.117881745885289,2,FALSE,FALSE
"511","Rep",-0.106618528633302,2,FALSE,FALSE
"512","Rep",-0.131472710698225,2,FALSE,FALSE
"513","Rep",-0.113310257184401,2,FALSE,FALSE
"514","Rep",-0.149250540207608,2,FALSE,FALSE
"515","Rep",-0.101847901622401,2,FALSE,FALSE
"516","Rep",-0.116535466984308,2,FALSE,FALSE
"517","Rep",-0.155195297333565,2,FALSE,FALSE
"518","Rep",-0.133504249029944,2,FALSE,FALSE
"519","Rep",-0.103924448103621,2,FALSE,FALSE
"520","Rep",-0.116373356524556,2,FALSE,FALSE
"521","Rep",-0.096430678644754,2,FALSE,FALSE
"522","Rep",-0.124142427677851,2,FALSE,FALSE
"523","Rep",-0.108751916836842,2,FALSE,FALSE
"524","Rep",-0.11910954393083,2,FALSE,FALSE
"525","Rep",-0.136395950637526,2,FALSE,FALSE
